Unnamed: 0,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Destination Name,Node Name,Node Tags,Average Rating,city
0.0,Northern,Delhi,Delhi,India Gate,War Memorial,1921,0.5,4.6,0.0,Yes,,Historical,Yes,2.6,Evening,,,,,
1.0,Northern,Delhi,Delhi,Humayun's Tomb,Tomb,1572,2.0,4.5,30.0,Yes,,Historical,Yes,0.4,Afternoon,,,,,
2.0,Northern,Delhi,Delhi,Akshardham Temple,Temple,2005,5.0,4.6,60.0,Yes,,Religious,No,0.4,Afternoon,,,,,
3.0,Northern,Delhi,Delhi,Waste to Wonder Park,Theme Park,2019,2.0,4.1,50.0,Yes,Monday,Environmental,Yes,0.27,Evening,,,,,
4.0,Northern,Delhi,Delhi,Jantar Mantar,Observatory,1724,2.0,4.2,15.0,Yes,,Scientific,Yes,0.31,Morning,,,,,
5.0,Northern,Delhi,Delhi,Chandni Chowk,Market,1700,3.0,4.2,0.0,Yes,Sunday,Market,Yes,0.25,Afternoon,,,,,
6.0,Northern,Delhi,Delhi,Lotus Temple,Temple,1986,1.0,4.5,0.0,Yes,Monday,Religious,Yes,0.59,Evening,,,,,
7.0,Northern,Delhi,Delhi,Red Fort,Fort,1648,2.0,4.5,35.0,Yes,,Historical,Yes,1.5,Afternoon,,,,,
8.0,Northern,Delhi,Delhi,Agrasen ki Baoli,Stepwell,1400,1.0,4.2,0.0,Yes,,Historical,Yes,0.41,Afternoon,,,,,
9.0,Northern,Delhi,Delhi,Sunder Nursery,Park,1600,2.0,4.6,0.0,Yes,,Botanical,Yes,0.16,Afternoon,,,,,
10.0,Northern,Delhi,Delhi,Garden of Five Senses,Park,2003,2.0,4.1,35.0,Yes,,Botanical,Yes,0.23,Morning,,,,,
11.0,Northern,Delhi,Delhi,Lodhi Garden,Park,1500,1.0,4.5,0.0,Yes,,Botanical,Yes,0.48,All,,,,,
12.0,Northern,Delhi,Delhi,National Gallery of Modern Art,Museum,1954,3.0,4.5,20.0,Yes,Monday,Artistic,Yes,0.08,All,,,,,
13.0,Northern,Delhi,Delhi,National Zoological Park ,Zoo,1959,3.0,4.1,80.0,Yes,Friday,Environmental,Yes,0.41,All,,,,,
14.0,Northern,Delhi,Delhi,Qutub Minar,Monument,1192,1.0,4.5,35.0,Yes,,Historical,Yes,1.37,Afternoon,,,,,
15.0,Northern,Delhi,Delhi,National Science Centre,Science,1992,5.0,4.4,70.0,Yes,,Scientific,Yes,0.23,All,,,,,
16.0,Western,Maharastra,Mumbai,Marine Drive,Promenade,Unknown,2.0,4.5,0.0,Yes,,Scenic,Yes,1.5,Evening,,,,,
17.0,Western,Maharastra,Mumbai,Gateway of India,Monument,1924,1.0,4.6,0.0,Yes,,Historical,Yes,3.6,All,,,,,
18.0,Western,Maharastra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,1922,1.0,4.6,500.0,Yes,,Historical,Yes,0.34,All,,,,,
19.0,Western,Maharastra,Mumbai,Sanjay Gandhi National Park,National Park,1996,3.0,4.3,50.0,Yes,Monday,Wildlife,Yes,0.6,All,,,,,
20.0,Western,Maharastra,Mumbai,Siddhivinayak Temple,Temple,1881,2.0,4.8,0.0,Yes,,Religious,No,1.05,All,,,,,
21.0,Western,Maharastra,Mumbai,Mahalaxmi Temple,Temple,1831,1.0,4.7,0.0,Yes,,Religious,No,0.33,All,,,,,
22.0,Western,Maharastra,Mumbai,Haji Ali Dargah,Religious Shrine,1431,2.0,4.4,0.0,Yes,,Religious,No,0.16,All,,,,,
23.0,Western,Maharastra,Mumbai,Chowpatty Beach,Beach,Unknown,2.0,4.3,0.0,Yes,,Recreational,Yes,0.05,Evening,,,,,
24.0,Western,Maharastra,Mumbai,Essel World,Amusement Park,1986,5.0,4.3,1149.0,Yes,,Recreational,Yes,0.27,All,,,,,
25.0,Western,Maharastra,Mumbai,Elephanta Caves,Monument,1987,4.0,4.3,550.0,Yes,,Historical,Yes,0.35,All ,,,,,
26.0,Western,Maharastra,Lonavala,Imagicaa,Amusement Park,2013,5.0,1.4,1149.0,No,Monday,Recreational,Yes,0.95,All,,,,,
27.0,Southern,Karnataka,Bangalore,Bangalore Palace,Palace,1878,2.0,4.2,500.0,Yes,Monday,Historical,Yes,0.9,Morning,,,,,
28.0,Southern,Karnataka,Bangalore,Lalbagh Botanical Garden,Botanical Garden,1760,1.5,4.4,20.0,Yes,,Nature,Yes,1.5,Evening,,,,,
29.0,Southern,Karnataka,Bangalore,Cubbon Park,Park,1870,1.0,4.4,0.0,Yes,,Nature,Yes,1.32,Morning,,,,,
30.0,Southern,Karnataka,Bangalore,Vidhana Soudha,Government Building,1956,0.5,4.6,0.0,Yes,,Architectural,No,0.8,Morning,,,,,
31.0,Southern,Karnataka,Bangalore,ISKCON Temple Bangalore,Temple,1997,1.0,4.6,0.0,Yes,,Religious,Yes,1.14,Evening,,,,,
32.0,Southern,Telangana,Hyderabad,Charminar,Landmark,1591,1.0,4.5,25.0,Yes,Friday,Historical,Yes,2.1,Morning,,,,,
33.0,Southern,Telangana,Hyderabad,Golconda Fort,Fort,1600,2.0,4.4,30.0,Yes,,Historical,Yes,1.2,Morning,,,,,
34.0,Southern,Telangana,Hyderabad,Hussain Sagar Lake,Lake,1563,1.0,4.3,0.0,Yes,,Scenic,Yes,0.5,Evening,,,,,
35.0,Southern,Telangana,Hyderabad,Ramoji Film City,Film Studio,1996,4.0,4.4,1150.0,Yes,,Entertainment,Yes,0.45,All,,,,,
36.0,Southern,Telangana,Hyderabad,Salar Jung Museum,Museum,1951,2.0,4.4,20.0,Yes,,Historical,Yes,0.67,All,,,,,
37.0,Southern,Telangana,Hyderabad,Qutb Shahi Tombs,Tombs,1600,1.0,4.4,25.0,Yes,,Historical,Yes,0.2,Morning,,,,,
38.0,Southern,Telangana,Hyderabad,Birla Mandir,Temple,1976,1.0,4.7,0.0,Yes,,Religious,No,0.41,All,,,,,
39.0,Southern,Telangana,Hyderabad,Chowmahalla Palace,Palace,1800,1.5,4.4,80.0,Yes,,Historical,Yes,0.45,Morning,,,,,
40.0,Southern,Telangana,Hyderabad,Nehru Zoological Park,Zoo,1963,3.0,4.2,50.0,Yes,,Wildlife,Yes,0.86,Morning,,,,,
41.0,Southern,Telangana,Hyderabad,Lumbini Park,Park,1994,1.0,4.1,20.0,Yes,,Recreational,Yes,0.73,Evening,,,,,
42.0,Eastern,West Bengal,Kolkata,Victoria Memorial,Museum,1921,1.5,4.6,30.0,Yes,Monday,Historical,Yes,0.73,Morning,,,,,
43.0,Eastern,West Bengal,Kolkata,Howrah Bridge,Bridge,1943,0.5,4.6,0.0,Yes,,Architectural,No,1.2,Anytime,,,,,
44.0,Eastern,West Bengal,Kolkata,Indian Museum,Museum,1814,2.0,4.6,50.0,Yes,Monday,Historical,Yes,0.18,Morning,,,,,
45.0,Eastern,West Bengal,Kolkata,Dakshineswar Kali Temple,Temple,1855,1.0,4.7,0.0,Yes,,Religious,Yes,0.82,Morning,,,,,
