From_Date,To_Date,From_Place,To_Place,No_of_Person,Vehicle_Types,Cost
04-10-2024,30-12-2024,Nandyal,Nagari,1,Train,799
15-10-2024,22-11-2024,Hindupur,Nagari,1,Bus,834
20-11-2024,01-12-2024,Salem,Visakhapatnam,4,Bus,835
03-11-2024,18-11-2024,Nellore,Hindupur,1,Bus,942
01-10-2024,06-11-2024,Palakollu,Ongole,4,Train,778
11-11-2024,11-12-2024,Amaravati,Salem,3,Bus,785
18-10-2024,03-11-2024,Palakollu,Nandyal,3,Train,823
14-11-2024,28-12-2024,Proddatur,Tanuku,5,Train,818
11-11-2024,29-12-2024,Palakollu,Gudivada,3,Train,842
17-10-2024,24-10-2024,Kadapa,Tanuku,5,Train,750
24-12-2024,26-12-2024,Coimbatore,Markapur,1,Bus,765
17-12-2024,01-01-2025,Chilakaluripet,Srikakulam,3,Train,770
02-11-2024,27-11-2024,Kurnool,Chittoor,2,Bus,938
04-10-2024,15-10-2024,Kakinada,Vizianagaram,4,Train,755
09-10-2024,07-12-2024,Puttur,Guntur,2,Car,792
25-10-2024,05-11-2024,Vijayawada,Machilipatnam,2,Train,863
06-10-2024,10-12-2024,Kurnool,Salem,2,Train,984
06-11-2024,27-12-2024,Palakollu,Anantapur,3,Car,817
16-10-2024,14-12-2024,Adoni,Srikakulam,4,Bus,787
04-10-2024,19-10-2024,Tuni,Kurnool,5,Car,798
15-10-2024,12-12-2024,Amaravati,Vizianagaram,3,Bus,821
25-11-2024,25-12-2024,Anantapur,Kurnool,2,Train,866
11-10-2024,21-11-2024,Guntur,Visakhapatnam,4,Car,886
05-12-2024,29-12-2024,Vizianagaram,Markapur,5,Train,775
06-11-2024,06-12-2024,Tenali,Kurnool,2,Bus,875
27-10-2024,10-11-2024,Visakhapatnam,Kadapa,4,Bus,1002
29-10-2024,05-12-2024,Chennai,Visakhapatnam,2,Car,827
14-10-2024,18-12-2024,Madurai,Coimbatore,5,Car,773
16-10-2024,23-11-2024,Tenali,Nandyal,3,Bus,835
16-10-2024,19-12-2024,Tenali,Tekkali,3,Bus,811
03-10-2024,21-10-2024,Chennai,Tanuku,2,Car,846
23-10-2024,20-11-2024,Guntur,Tirupati,1,Train,763
13-11-2024,07-12-2024,Srikakulam,Coimbatore,3,Train,865
27-10-2024,16-11-2024,Sattenapalle,Salem,5,Car,1040
09-11-2024,29-11-2024,Bapatla,Amaravati,3,Car,1003
20-10-2024,07-11-2024,Chennai,Tadepalligudem,5,Car,943
08-11-2024,02-01-2025,Kadapa,Rajahmundry,4,Train,895
07-10-2024,22-10-2024,Nellore,Vizianagaram,4,Train,889
19-12-2024,03-01-2025,Tiruchirappalli,Sattenapalle,4,Bus,837
10-10-2024,28-11-2024,Visakhapatnam,Chennai,3,Car,767
02-10-2024,07-12-2024,Tirupati,Tanuku,2,Bus,819
10-11-2024,12-11-2024,Chittoor,Adoni,4,Bus,989
17-10-2024,30-12-2024,Vijayawada,Chilakaluripet,1,Car,800
19-10-2024,02-01-2025,Bhimavaram,Ongole,3,Bus,942
10-10-2024,17-10-2024,Tenali,Coimbatore,4,Car,841
01-10-2024,24-10-2024,Nandyal,Hindupur,3,Car,894
27-10-2024,02-12-2024,Tenali,Tenali,1,Bus,1038
15-12-2024,03-01-2025,Tadepalligudem,Rajahmundry,3,Car,898
19-10-2024,24-12-2024,Narasaraopet,Nellore,3,Bus,1001
24-10-2024,10-12-2024,Nandyal,Proddatur,2,Car,848
11-11-2024,14-12-2024,Kurnool,Coimbatore,4,Bus,756
02-10-2024,15-10-2024,Amaravati,Sattenapalle,4,Bus,765
29-11-2024,19-12-2024,Tuni,Anantapur,2,Bus,809
12-10-2024,07-12-2024,Narasaraopet,Anakapalle,2,Bus,1028
05-11-2024,17-11-2024,Nandyal,Anantapur,2,Bus,813
03-11-2024,03-01-2025,Guntur,Rajahmundry,1,Train,918
06-11-2024,19-12-2024,Madurai,Bhimavaram,5,Bus,824
31-10-2024,05-12-2024,Srikakulam,Sattenapalle,1,Train,884
